selectionSort	Losowa
Elementy	Czas(s)
10	0.000002
50	0.000008
100	0.000027
500	0.000564
1000	0.001830
2000	0.007544
4000	0.030791
5000	0.046987
7000	0.092246
10000	0.188231
20000	0.754675
30000	1.700850
40000	2.995968
50000	4.704966
60000	6.797593
selectionSort	Posortowana
Elementy	Czas(s)
10	0.000001
50	0.000006
100	0.000021
500	0.000474
1000	0.001983
2000	0.008341
4000	0.030010
5000	0.047034
7000	0.091948
10000	0.186311
20000	0.754069
30000	1.700979
40000	3.012348
50000	4.706037
60000	6.752892
selectionSort	Odwrotnie posortowana
Elementy	Czas(s)
10	0.000001
50	0.000006
100	0.000019
500	0.000472
1000	0.001944
2000	0.007506
4000	0.029765
5000	0.046367
7000	0.091260
10000	0.189172
20000	0.748400
30000	1.684051
40000	3.003403
50000	4.679560
60000	6.785069
selectionSort	V-ksztaltna
Elementy	Czas(s)
10	0.000001
50	0.000008
100	0.000025
500	0.000506
1000	0.001976
2000	0.007616
4000	0.031302
5000	0.048044
7000	0.094032
10000	0.190542
20000	0.766912
30000	1.739961
40000	3.092695
50000	4.850115
60000	7.022853
selectionSort	A-ksztaltna
Elementy	Czas(s)
10	0.000001
50	0.000007
100	0.000023
500	0.000493
1000	0.001963
2000	0.008231
4000	0.030674
5000	0.048208
7000	0.097873
10000	0.198294
20000	0.791039
30000	1.759934
40000	3.148254
50000	4.918608
60000	7.074371
selectionSort	Stajnia
Elementy	Czas(s)
10	0.000001
50	0.000006
100	0.000021
500	0.000477
1000	0.001880
2000	0.007465
4000	0.029754
5000	0.046658
7000	0.091659
10000	0.194902
20000	0.765314
30000	1.719913
40000	3.045303
50000	4.731462
60000	6.935547
InsertionSort	Losowa
Elementy	Czas(s)
10	0.000000
50	0.000005
100	0.000015
500	0.000349
1000	0.001448
2000	0.005637
4000	0.023290
5000	0.035608
7000	0.069940
10000	0.137500
20000	0.567085
30000	1.261543
40000	2.230652
50000	3.510567
60000	5.013317
InsertionSort	Posortowana
Elementy	Czas(s)
10	0.000000
50	0.000001
100	0.000001
500	0.000004
1000	0.000008
2000	0.000015
4000	0.000030
