HeapSort	Losowa
100000	0.043992
200000	0.100203
300000	0.160219
400000	0.220975
500000	0.282552
600000	0.341574
700000	0.409348
800000	0.477478
900000	0.544911
1000000	0.611035
1100000	0.678870
1200000	0.753030
1300000	0.826889
1400000	0.900303
1500000	0.974738
HeapSort	Posortowana
100000	0.042570
200000	0.093418
300000	0.147844
400000	0.202302
500000	0.258288
600000	0.317515
700000	0.372928
800000	0.430586
900000	0.490764
1000000	0.546665
1100000	0.606301
1200000	0.664828
1300000	0.732091
1400000	0.791394
1500000	0.849268
HeapSort	Odwrotnie posortowana
100000	0.041860
200000	0.095523
300000	0.146860
400000	0.203266
500000	0.258179
600000	0.315158
700000	0.372719
800000	0.429611
900000	0.490320
1000000	0.547594
1100000	0.609225
1200000	0.670141
1300000	0.730644
1400000	0.790510
1500000	0.851106
HeapSort	V-ksztaltna
100000	0.040570
200000	0.089863
300000	0.140463
400000	0.192603
500000	0.248528
600000	0.301347
700000	0.355403
800000	0.415282
900000	0.478721
1000000	0.527845
1100000	0.585035
1200000	0.621293
1300000	0.691015
1400000	0.730740
1500000	0.803718
HeapSort	A-ksztaltna
100000	0.044816
200000	0.094299
300000	0.147091
400000	0.203698
500000	0.252346
600000	0.305624
700000	0.368339
800000	0.423985
900000	0.481833
1000000	0.534528
1100000	0.591959
1200000	0.656023
1300000	0.710932
1400000	0.783618
1500000	0.836650
HeapSort	Stabilna
100000	0.002912
200000	0.005955
300000	0.007889
400000	0.010900
500000	0.013703
600000	0.015950
700000	0.019247
800000	0.023876
900000	0.026733
1000000	0.027860
1100000	0.032156
1200000	0.035628
1300000	0.037879
1400000	0.040572
1500000	0.043340
selectionSort	Losowa
10000	0.197839
20000	0.795910
30000	1.778860
40000	3.193999
50000	4.890229
60000	7.152523
70000	9.608271
80000	12.515113
90000	15.535553
100000	19.503544
110000	23.682189
120000	27.876706
130000	32.479332
140000	38.526610
150000	45.032499
selectionSort	Posortowana
10000	0.195618
20000	0.780295
30000	1.778170
40000	3.137050
50000	4.898086
60000	7.059038
70000	9.632247
80000	12.903078
90000	16.430280
100000	20.075034
110000	23.513602
120000	27.825224
130000	32.451526
140000	37.722842
150000	43.294567
selectionSort	Odwrotnie posortowana
10000	0.188509
20000	0.752519
30000	1.705794
40000	3.063650
50000	4.797945
60000	6.905713
70000	9.369462
80000	12.332452
90000	15.643307
100000	19.329757
110000	23.366120
120000	27.826887
130000	34.352129
140000	39.297033
150000	45.614833
selectionSort	V-ksztaltna
10000	0.197087
20000	0.834989
30000	1.865962
40000	3.190621
50000	5.093803
60000	7.644572
70000	10.444317
80000	13.359099
90000	16.652533
100000	20.881556
110000	25.066755
120000	29.164415
130000	34.400626
140000	40.728581
150000	46.633188
selectionSort	A-ksztaltna
10000	0.210248
20000	0.852333
30000	1.909409
40000	3.433199
50000	5.246721
60000	7.325056
70000	9.989420
80000	13.401545
90000	17.173193
100000	21.459607
110000	25.940928
120000	30.634361
130000	35.518867
140000	39.537141
150000	46.392178
selectionSort	Stabilna
10000	0.194193
20000	0.791667
30000	1.750528
40000	3.160159
50000	4.908988
60000	7.014318
70000	9.600925
80000	12.550130
90000	15.496863
100000	19.444585
110000	23.381867
120000	28.552846
130000	34.630295
140000	40.938029
150000	46.026004
InsertionSort	Losowa
10000	0.173253
20000	0.590267
30000	1.659015
40000	3.029583
50000	4.064970
60000	5.437138
70000	7.297033
80000	9.804476
90000	12.976721
100000	15.203565
110000	19.187126
120000	22.510687
130000	26.359938
140000	30.786535
150000	34.375017
InsertionSort	Posortowana
10000	0.000079
20000	0.000159
30000	0.000323
40000	0.000347
50000	0.000441
60000	0.000662
70000	0.000530
80000	0.000831
90000	0.000714
100000	0.001227
110000	0.000804
120000	0.000939
130000	0.001567
140000	0.001628
150000	0.001311
InsertionSort	Odwrotnie posortowana
10000	0.000079
20000	0.000155
30000	0.000276
40000	0.000376
50000	0.000389
60000	0.000526
70000	0.000563
80000	0.000666
90000	0.000884
100000	0.000873
110000	0.000870
120000	0.000893
130000	0.001011
140000	0.001679
150000	0.001611
InsertionSort	V-ksztaltna
10000	0.150487
20000	0.603911
30000	1.335139
40000	2.377834
50000	3.800572
60000	5.650240
70000	7.387638
80000	9.574803
90000	12.924729
100000	14.861332
110000	17.678602
120000	21.023599
130000	25.238636
140000	29.372542
150000	32.176168
InsertionSort	A-ksztaltna
10000	0.138496
20000	0.753641
30000	1.508221
40000	2.392359
50000	4.045690
60000	5.458676
70000	7.330362
80000	9.614071
90000	15.872964
100000	15.957542
110000	18.662723
120000	21.615461
130000	25.652103
140000	29.276841
150000	33.899969
InsertionSort	Stabilna
10000	0.000128
20000	0.000292
30000	0.000439
40000	0.000571
50000	0.000664
60000	0.000576
70000	0.000778
80000	0.000971
90000	0.000989
100000	0.001308
110000	0.000864
120000	0.000889
130000	0.001719
140000	0.001844
150000	0.001898
QuickSort	Losowa
10000	0.001597
20000	0.003233
30000	0.005026
40000	0.007176
50000	0.008850
60000	0.010936
70000	0.012766
80000	0.014718
90000	0.017057
100000	0.018829
110000	0.020617
120000	0.022762
130000	0.026617
140000	0.027150
150000	0.029209
QuickSort	Posortowana
10000	0.000786
20000	0.001640
30000	0.002504
40000	0.003277
50000	0.004128
60000	0.005180
70000	0.006340
80000	0.006908
90000	0.007941
100000	0.008898
110000	0.009836
120000	0.010895
130000	0.011994
140000	0.012863
150000	0.013283
QuickSort	Odwrotnie posortowana
10000	0.000717
20000	0.001604
30000	0.002640
40000	0.003273
50000	0.004316
60000	0.005198
70000	0.006299
80000	0.006934
90000	0.007712
100000	0.008945
110000	0.009834
120000	0.010995
130000	0.012098
140000	0.012868
150000	0.013744
QuickSort	V-ksztaltna
10000	0.081966
20000	0.336597
30000	0.769308
40000	1.353448
50000	2.093204
60000	2.983284
70000	3.995486
80000	5.333851
90000	6.939874
100000	8.422883
110000	10.371222
120000	12.351614
130000	14.586834
140000	16.861839
150000	19.272364
QuickSort	A-ksztaltna
10000	0.080813
20000	0.015852
30000	0.038648
40000	0.069659
50000	0.044875
60000	0.164532
70000	2.946438
80000	3.915698
90000	5.379294
100000	6.792106
110000	8.462252
120000	10.219213
130000	14.362667
140000	16.575291
150000	17.612472
QuickSort	Stabilna
10000	0.000969
20000	0.001877
30000	0.003031
40000	0.004019
50000	0.004935
60000	0.006467
70000	0.007465
80000	0.008691
90000	0.009504
100000	0.010543
110000	0.011906
120000	0.013748
130000	0.014885
140000	0.015869
150000	0.016411
QuickSort Iteracyjny	Losowa
10000	0.001627
20000	0.003309
30000	0.005298
40000	0.006821
50000	0.009173
60000	0.010539
70000	0.012827
80000	0.015253
90000	0.016887
100000	0.018478
110000	0.020797
120000	0.022539
130000	0.025483
140000	0.027241
150000	0.029242
QuickSort Iteracyjny	Posortowana
10000	0.000577
20000	0.001219
30000	0.001822
40000	0.002533
50000	0.003195
60000	0.003866
70000	0.004477
80000	0.005302
90000	0.006157
100000	0.007462
110000	0.007587
120000	0.008045
130000	0.008636
140000	0.009368
150000	0.010110
QuickSort Iteracyjny	Odwrotnie posortowana
10000	0.000573
20000	0.001214
30000	0.001851
40000	0.002489
50000	0.003324
60000	0.003867
70000	0.004390
80000	0.005331
90000	0.006141
100000	0.007114
110000	0.007426
120000	0.008137
130000	0.008448
140000	0.010406
150000	0.010139
QuickSort Iteracyjny	V-ksztaltna
10000	0.004882
20000	0.021467
30000	0.045430
40000	0.079077
50000	0.115182
60000	0.163184
70000	0.231284
80000	0.280162
90000	0.310219
100000	0.484442
110000	0.522297
120000	0.628869
130000	0.497883
140000	0.904842
150000	1.043721
QuickSort Iteracyjny	A-ksztaltna
10000	0.085829
20000	0.351460
30000	0.788915
40000	1.418644
50000	2.211609
60000	3.209716
70000	4.334606
80000	5.614864
90000	7.155060
100000	8.873130
110000	10.722847
120000	12.795474
130000	15.043055
140000	17.377442
150000	19.841363
QuickSort Iteracyjny	Stabilna
10000	0.000733
20000	0.001563
30000	0.002243
40000	0.003132
50000	0.004189
60000	0.004848
70000	0.006363
80000	0.006825
90000	0.007977
100000	0.008953
110000	0.009734
120000	0.010706
130000	0.011562
140000	0.013267
150000	0.014288
